,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
x,322.5,262.5,262.5,182.5,282.5,302.5,302.5,342.5,412.5,422.5,422.5,442.5,402.5,202.5,382.5,282.5
y,136.6666717529297,323.3333435058594,430.0,510.0,350.0,430.0,536.6666870117188,223.3333282470703,110.0,83.33333587646484,56.66666793823242,110.0,136.6666717529297,163.3333282470703,110.0,190.0
z,-3.5637733936309814,-71.41191864013672,-436.9985656738281,-141.37408447265625,50.18403625488281,-27.886619567871094,160.4385528564453,141.12646484375,3.0033721923828125,-321.268798828125,839.2911376953125,562.8626708984375,381.33843994140625,139.8424530029297,9.67597770690918,11.608283042907715
c,0.3652457892894745,0.07918745279312134,0.10787266492843628,0.11111676692962646,0.14895150065422058,0.136239156126976,0.05951094627380371,0.1325204223394394,0.36309123039245605,0.5636565089225769,0.7912867069244385,0.36082303524017334,0.6486992835998535,0.6566634178161621,0.6566634178161621,0.6566634178161621
x,322.5,262.5,262.5,182.5,282.5,302.5,302.5,342.5,412.5,422.5,422.5,442.5,402.5,202.5,382.5,282.5
y,136.6666717529297,323.3333435058594,430.0,510.0,350.0,430.0,536.6666870117188,223.3333282470703,110.0,83.33333587646484,56.66666793823242,110.0,136.6666717529297,163.3333282470703,110.0,190.0
z,-3.5637733936309814,-71.41191864013672,-436.9985656738281,-141.37408447265625,50.18403625488281,-27.886619567871094,160.4385528564453,141.12646484375,3.0033721923828125,-321.268798828125,839.2911376953125,562.8626708984375,381.33843994140625,139.8424530029297,9.67597770690918,11.608283042907715
c,0.36329373717308044,0.0761585682630539,0.10500693321228027,0.10821741819381714,0.14803534746170044,0.13214385509490967,0.05830976366996765,0.13443367183208466,0.3654319643974304,0.5631160736083984,0.791243851184845,0.36467885971069336,0.6503210663795471,0.6571135520935059,0.6571135520935059,0.6571135520935059
x,322.5,262.5,262.5,182.5,282.5,302.5,302.5,342.5,412.5,422.5,422.5,442.5,402.5,202.5,382.5,282.5
y,136.6666717529297,323.3333435058594,430.0,510.0,350.0,430.0,536.6666870117188,223.3333282470703,110.0,83.33333587646484,56.66666793823242,110.0,136.6666717529297,163.3333282470703,110.0,190.0
z,-3.5637733936309814,-71.41191864013672,-436.9985656738281,-141.37408447265625,50.18403625488281,-27.886619567871094,160.4385528564453,141.12646484375,3.0033721923828125,-321.268798828125,839.2911376953125,562.8626708984375,381.33843994140625,139.8424530029297,9.67597770690918,11.608283042907715
c,0.3618285655975342,0.07369012385606766,0.10230454802513123,0.10659275203943253,0.14756789803504944,0.12953537702560425,0.05800233408808708,0.13532425463199615,0.3654334247112274,0.5623910427093506,0.7911834120750427,0.36643359065055847,0.6506256461143494,0.6571114659309387,0.6571114659309387,0.6571114659309387
x,322.5,262.5,262.5,182.5,282.5,302.5,302.5,342.5,412.5,422.5,422.5,442.5,402.5,202.5,382.5,282.5
y,136.6666717529297,323.3333435058594,430.0,510.0,350.0,430.0,536.6666870117188,223.3333282470703,110.0,83.33333587646484,56.66666793823242,110.0,136.6666717529297,163.3333282470703,110.0,190.0
z,-3.5637733936309814,-71.41191864013672,-436.9985656738281,-141.37408447265625,50.18403625488281,-27.886619567871094,160.4385528564453,141.12646484375,3.0033721923828125,-321.268798828125,839.2911376953125,562.8626708984375,381.33843994140625,139.8424530029297,9.67597770690918,11.608283042907715
