,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
x,222.5,142.5,162.5,102.5,162.5,162.5,162.5,167.5,182.5,202.5,222.5,182.5,182.5,182.5,182.5,162.5
y,150.0,190.0,270.0,350.0,216.6666717529297,270.0,323.3333435058594,183.3333282470703,163.3333282470703,136.6666717529297,110.0,163.3333282470703,136.6666717529297,350.0,163.3333282470703,190.0
z,-4.765340805053711,-28.8521671295166,-284.2743225097656,-128.66339111328125,15.44066047668457,24.55243682861328,129.82203674316406,53.15839767456055,8.362262725830078,-160.0946502685547,351.9144592285156,272.4159240722656,236.2982940673828,203.9742889404297,6.124692916870117,-20.29258155822754
c,0.24397340416908264,0.14096415042877197,0.11032819747924805,0.044289469718933105,0.05548816919326782,0.24384774267673492,0.1355341672897339,0.10996562242507935,0.4348011612892151,0.5346410274505615,0.7090824842453003,0.4748106002807617,0.36642584204673767,0.333041787147522,0.333041787147522,0.333041787147522
x,222.5,142.5,162.5,102.5,162.5,162.5,162.5,167.5,182.5,202.5,222.5,182.5,182.5,182.5,182.5,162.5
y,150.0,190.0,270.0,350.0,216.6666717529297,270.0,323.3333435058594,183.3333282470703,163.3333282470703,136.6666717529297,110.0,163.3333282470703,136.6666717529297,350.0,163.3333282470703,190.0
z,-4.765340805053711,-28.8521671295166,-284.2743225097656,-128.66339111328125,15.44066047668457,24.55243682861328,129.82203674316406,53.15839767456055,8.362262725830078,-160.0946502685547,351.9144592285156,272.4159240722656,236.2982940673828,203.9742889404297,6.124692916870117,-20.29258155822754
c,0.2399662435054779,0.1408957839012146,0.11050976812839508,0.04415431618690491,0.055251240730285645,0.24101193249225616,0.1352497935295105,0.10648800432682037,0.42893052101135254,0.5303970575332642,0.7039639949798584,0.4745650887489319,0.371865451335907,0.3315328359603882,0.3315328359603882,0.3315328359603882
x,222.5,142.5,162.5,102.5,162.5,162.5,162.5,167.5,182.5,202.5,222.5,182.5,182.5,182.5,182.5,162.5
y,150.0,190.0,270.0,350.0,216.6666717529297,270.0,323.3333435058594,183.3333282470703,163.3333282470703,136.6666717529297,110.0,163.3333282470703,136.6666717529297,350.0,163.3333282470703,190.0
z,-4.765340805053711,-28.8521671295166,-284.2743225097656,-128.66339111328125,15.44066047668457,24.55243682861328,129.82203674316406,53.15839767456055,8.362262725830078,-160.0946502685547,351.9144592285156,272.4159240722656,236.2982940673828,203.9742889404297,6.124692916870117,-20.29258155822754
c,0.2399636059999466,0.14100728929042816,0.1105932965874672,0.044026929885149,0.05520482733845711,0.24074962735176086,0.13545481860637665,0.10560150444507599,0.4273715913295746,0.528550922870636,0.7031618356704712,0.4746153950691223,0.3742820620536804,0.33044806122779846,0.33044806122779846,0.33044806122779846
x,222.5,142.5,162.5,102.5,162.5,162.5,162.5,167.5,182.5,202.5,222.5,182.5,182.5,182.5,182.5,162.5
y,150.0,190.0,270.0,350.0,216.6666717529297,270.0,323.3333435058594,183.3333282470703,163.3333282470703,136.6666717529297,110.0,163.3333282470703,136.6666717529297,350.0,163.3333282470703,190.0
z,-4.765340805053711,-28.8521671295166,-284.2743225097656,-128.66339111328125,15.44066047668457,24.55243682861328,129.82203674316406,53.15839767456055,8.362262725830078,-160.0946502685547,351.9144592285156,272.4159240722656,236.2982940673828,203.9742889404297,6.124692916870117,-20.29258155822754
c,0.24002817273139954,0.1405542492866516,0.11083929985761642,0.04358270764350891,0.05556359887123108,0.23726709187030792,0.13505111634731293,0.10880721360445023,0.43261080980300903,0.5354662537574768,0.704757571220398,0.4748779833316803,0.36911898851394653,0.3315950632095337,0.3315950632095337,0.3315950632095337
x,222.5,142.5,162.5,102.5,162.5,162.5,162.5,167.5,182.5,206.5,222.5,182.5,182.5,182.5,182.5,162.5
y,150.0,190.0,270.0,350.0,216.6666717529297,270.0,323.3333435058594,183.3333282470703,163.3333282470703,136.6666717529297,110.0,163.3333282470703,136.6666717529297,350.0,163.3333282470703,190.0
